City_ID,City,Country,Max Temperature,Current Description,Lat,Lng,Hotel Name
565,Muisne,EC,78.91,light rain,0.6,-80.0333,Quinta Samay
571,Cuamba,MZ,77.32,moderate rain,-14.8031,36.5372,Hotel Vision
572,Phan Thiet,VN,73.85,overcast clouds,10.9333,108.1,Hotel Saigon-PT
574,Iguape,BR,73.54,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
576,Gisenyi,RW,76.23,overcast clouds,-1.7028,29.2564,Palm garden Resort
579,Samaná,DO,75.42,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
587,Quilmaná,PE,71.8,overcast clouds,-12.95,-76.3833,Hospedaje SAN ANTONIO
588,Tuy Hoa,VN,72.41,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
589,Bilma,NE,71.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
590,Eyl,SO,77.7,broken clouds,7.9803,49.8164,Amiin Hotel
591,Amahai,ID,79.97,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
593,Samarai,PG,80.92,overcast clouds,-10.6167,150.6667,Nuli Sapi
597,Cravo Norte,CO,85.62,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
599,Robertsport,LR,83.32,broken clouds,6.7533,-11.3686,Kwepunha Retreat
603,Pangkalanbuun,ID,75.24,light rain,-2.6833,111.6167,Grand Kecubung Hotel
604,Sedam,IN,72.72,clear sky,17.1773,77.2824,Lakshmi Krupa
606,Acapulco de Juárez,MX,73.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
609,Amalāpuram,IN,80.98,few clouds,16.5833,82.0167,swayamprabha service apartments
620,Pedernales,DO,78.94,clear sky,18.0384,-71.744,Hotel Costa Marina
622,Santa Maria,BR,77.79,clear sky,-29.6842,-53.8069,Hotel Morotin
625,Karratha,AU,80.55,light rain,-20.7377,116.8463,ibis Styles Karratha
626,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
627,Careiro da Várzea,BR,77.63,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
628,Libreville,GA,84.99,light rain,0.3925,9.4537,Le Méridien Re-Ndama
630,Mossendjo,CG,83.32,light rain,-2.9506,12.7261,HOTEL D'ASSISE
634,Sinnamary,GF,78.93,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
635,Kikwit,CD,89.49,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
639,Voh,NC,77.95,moderate rain,-20.9667,164.7,Le gîte du Koniambo
642,Gwadar,PK,71.35,clear sky,25.1216,62.3254,Sadaf Resort
646,Pacasmayo,PE,71.78,overcast clouds,-7.4006,-79.5714,El Sol de Pacasmayo Hotel
654,Katobu,ID,77.0,overcast clouds,-4.9408,122.5276,La Ode Husein
655,São Gabriel da Cachoeira,BR,82.2,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
657,Kaoma,ZM,71.58,light rain,-14.7833,24.8,KAOMA AIRPORT
658,Marigot,MF,80.82,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
660,Springbok,ZA,87.21,clear sky,-29.6643,17.8865,Undulata Country Lodge
663,Tabuk,PH,73.08,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
668,Aden,YE,76.3,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
669,Demak,ID,82.36,moderate rain,-6.8909,110.6396,Inayah Kost
672,San Ignacio,BZ,70.65,few clouds,17.1561,-89.0714,Rainforest Haven Inn
677,Dicabisagan,PH,77.45,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
679,Montes Claros,BR,85.78,clear sky,-16.735,-43.8617,ibis Montes Claros Shopping
680,São João da Barra,BR,89.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
681,Kokopo,PG,78.12,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
690,Isangel,VU,76.91,overcast clouds,-19.55,169.2667,Tanna Lodge
694,Atar,MR,79.9,broken clouds,20.5169,-13.0499,Oumou Elghoura
695,Kantunil,MX,75.92,scattered clouds,20.8,-89.0333,Rancho mezcalero gallareta
703,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
704,Trairi,BR,79.14,light rain,-3.2778,-39.2689,janelas do mar
705,Iquique,CL,71.64,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
708,Kaputa,ZM,78.76,light rain,-8.4689,29.6619,Chelelwa Charlets
